date_est,year,month,day,year_month,yy_mm,yy_mmm,PM
2013-10-08,2013,10,8,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-09,2013,10,9,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-10,2013,10,10,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-11,2013,10,11,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-12,2013,10,12,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-13,2013,10,13,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-14,2013,10,14,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-15,2013,10,15,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-16,2013,10,16,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-17,2013,10,17,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-18,2013,10,18,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-19,2013,10,19,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-20,2013,10,20,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-21,2013,10,21,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-22,2013,10,22,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-23,2013,10,23,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-24,2013,10,24,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-25,2013,10,25,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-26,2013,10,26,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-27,2013,10,27,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-28,2013,10,28,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-29,2013,10,29,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-30,2013,10,30,201310,2013-10,2013-Oct,Shinzo_Abe
2013-10-31,2013,10,31,201310,2013-10,2013-Oct,Shinzo_Abe
2013-11-01,2013,11,1,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-02,2013,11,2,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-03,2013,11,3,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-04,2013,11,4,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-05,2013,11,5,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-06,2013,11,6,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-07,2013,11,7,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-08,2013,11,8,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-09,2013,11,9,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-10,2013,11,10,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-11,2013,11,11,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-12,2013,11,12,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-13,2013,11,13,201311,2013-11,2013-Nov,Shinzo_Abe
2013-11-14,2013,11,14,201311,2013-11,2013-Nov,Shinzo_Abe
