,PM,date,publish_date,activities
1063,Shinzo_Abe,12月19日,2015-12-20,　午前中は公邸で過ごす。▽13時21分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時21分　日本橋室町の日本橋三越本店で「2015年報道写真展」。続いて報道各社のインタビュー。▽17時58分　ザ・キャピトルホテル東急の日本料理店「水簾」で「おおさか維新の会」の橋下前代表、松井代表。菅官房長官が同席。▽21時39分　富ケ谷の私邸着。【図・写真】19日 
1073,Shinzo_Abe,12月29日,2015-12-30,▽10時　宿泊先のグランドハイアット東京で岸田外相、石兼外務省アジア大洋州局長。▽11時9分　同ホテルのイタリア料理店「フィオレンティーナ」で昭恵夫人。▽13時15分　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時29分　ＴＯＨＯシネマズ六本木ヒルズで昭恵夫人と映画「杉原千畝　スギハラチウネ」を鑑賞。この後、報道各社のインタビュー。▽18時32分　同ホテルの中国料理店「ＣＨＩＮＡＲＯＯＭ」で昭恵夫人ら。同ホテルに宿泊。 
1075,Shinzo_Abe,12月31日,2016-01-01,　午前中は宿泊先のグランドハイアット東京で過ごす。▽12時20分　同ホテルのイタリア料理店「フィオレンティーナ」で昭恵夫人、母の洋子さん。この後、同ホテル周辺を散歩。▽13時30分　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時14分　ＴＯＨＯシネマズ六本木ヒルズで昭恵夫人、母の洋子さんらと「スター・ウォーズ　フォースの覚醒」を鑑賞。▽18時30分　同ホテルのステーキ店「オークドア」で昭恵夫人、母の洋子さんら。宿泊。 
1105,Shinzo_Abe,1月31日,2016-02-01,▽8時54分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽10時45分　富ケ谷の私邸着。 
1111,Shinzo_Abe,2月6日,2016-02-07,　午前中は公邸で過ごす。▽14時51分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時38分　富ケ谷の私邸着。▽21時41分　公邸着。 
1140,Shinzo_Abe,3月6日,2016-03-07,　午前中は富ケ谷の私邸で過ごす。▽12時17分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽15時26分　私邸着。 
1209,Shinzo_Abe,5月15日,2016-05-16,　午前中は富ケ谷の私邸で過ごす。▽12時55分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時27分　私邸着。 
1285,Shinzo_Abe,7月31日,2016-08-01,　午前中は富ケ谷の私邸で過ごす。▽12時55分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時32分　私邸着。 
1340,Shinzo_Abe,9月25日,2016-09-26,　午前中は富ケ谷の私邸で過ごす。▽12時43分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時31分　私邸着。 
1354,Shinzo_Abe,10月9日,2016-10-10,▽10時　富ケ谷の私邸発。▽10時16分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽13時26分　私邸着。 
1378,Shinzo_Abe,11月3日,2016-11-04,▽9時50分　富ケ谷の私邸発。▽10時3分　皇居で文化勲章親授式。▽11時23分　私邸着。▽13時　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時17分　私邸着。▽17時39分　元赤坂の三笠宮邸で故三笠宮さまの通夜。▽18時37分　私邸着。 
1400,Shinzo_Abe,11月26日,2016-11-27,　午前中は公邸で過ごす。▽12時55分　虎の門病院の歯科。▽13時55分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽17時38分　公邸着。 
1433,Shinzo_Abe,12月30日,2016-12-31,　午前中は宿泊先のグランドハイアット東京で過ごす。▽12時　同ホテルの「ＮＡＧＯＭＩスパアンドフィットネス」。▽14時57分　ＴＯＨＯシネマズ六本木ヒルズで「ローグ・ワン／スター・ウォーズ・ストーリー」を鑑賞。この後、報道各社のインタビュー。▽18時　同ホテルの中華料理店「ＣＨＩＮＡＲＯＯＭ」で友人。同ホテルに宿泊。 
1463,Shinzo_Abe,1月28日・29日,2017-01-29,〈28日〉　午前中は公邸で過ごす。▽12時58分　内幸町の日本プレスセンタービルの歯科オノザワ。▽13時58分　グランドハイアット東京の「ＮＡＧＯＭＩスパアンドフィットネス」。▽16時29分　公邸着。▽23時5分　官邸でトランプ米大統領と電話。菅官房長官が同席。この後、報道各社のインタビュー。〈29日〉▽0時　公邸に。 
1511,Shinzo_Abe,3月18日,2017-03-19,　午前中は来客なく、公邸で過ごす。▽13時19分　公邸発。28分　東京・六本木のホテル「グランドハイアット東京」。「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽16時57分　東京・富ケ谷の私邸。 
1534,Shinzo_Abe,4月9日・10日,2017-04-11,〈9日〉▽7時26分　東京・富ケ谷の私邸発。38分　官邸。▽8時10分　トランプ米大統領と電話。▽9時3分　報道各社のインタビュー。6分　公邸。▽10時17分　東京・六本木のホテル「グランドハイアット東京」。「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽12時9分　私邸。59分　東京・渋谷の美容室「ＨＡＩＲ　ＧＵＥＳＴ」。散髪。▽14時51分　東京・隼町の国立劇場。大劇場で谷村新司氏のコンサートを鑑賞。長谷川首相補佐官同席。▽17時57分　私邸。▽19時5分　東京・銀座のデビアス銀座ビル。京料理店「花郷　銀座店」で昭恵夫人、親族と食事。▽21時37分　私邸。〈10日〉▽9時41分　東京・富ケ谷の私邸発。54分　官邸。▽11時30分　ＡＰＥＣビジネス諮問委員会新旧日本委員の高橋規三井物産取締役、亀崎英敏三菱商事常勤顧問ら。41分　天野之弥国際原子力機関（ＩＡＥＡ）事務局長。▽14時39分　杉山外務次官。▽16時24分　米国研究製薬工業協会のホアキン・デュアト会長。59分　国会。▽17時2分　党役員会。34分　茂木政調会長。53分　官邸。▽18時29分　公邸。宿泊。 
1540,Shinzo_Abe,4月16日,2017-04-17,　午前中は来客なく、東京・富ケ谷の私邸で過ごす。▽13時25分　東京・六本木のホテル「グランドハイアット東京」。「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽16時42分　東京・六本木の「森アーツセンターギャラリー」。「大エルミタージュ美術館展」を鑑賞。▽17時21分　報道各社のインタビュー。51分　私邸。 
1546,Shinzo_Abe,4月22日,2017-04-23,　午前中は来客なく、公邸で過ごす。▽12時35分　公邸発。45分　東京・六本木のホテル「グランドハイアット東京」。「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽15時14分　公邸。宿泊。 
1566,Shinzo_Abe,5月13日,2017-05-14,　午前中は来客なく、公邸で過ごす。▽13時41分　公邸発。50分　東京・信濃町の慶応大病院。成蹊大の同窓生の見舞い。▽14時51分　東京・六本木のホテル「グランドハイアット東京」。「ＮＡＧＯＭＩスパアンドフィットネス」で運動。▽18時1分　東京・富ケ谷の私邸。 
